region,year_month,rrp_nominal,peak_rrp_nominal,total_intervals,peak_intervals,carbon_flag,cpi_estimated,rrp_real,peak_rrp_real
NSW1,2003-07,46.77,75.82,1488,690,False,False,85.74,138.99
NSW1,2003-08,19.61,22.06,1488,630,False,False,35.88,40.36
NSW1,2003-09,21.05,26.29,1440,660,False,False,38.44,48.01
NSW1,2003-10,17.5,19.41,1488,690,False,False,31.9,35.39
NSW1,2003-11,18.37,20.74,1440,600,False,False,33.43,37.75
NSW1,2003-12,23.38,29.68,1488,690,False,False,42.48,53.92
NSW1,2004-01,26.76,31.61,1488,660,False,False,48.47,57.26
NSW1,2004-02,58.5,49.01,1392,600,False,False,105.65,88.51
NSW1,2004-03,63.73,116.77,1488,690,False,False,114.76,210.27
NSW1,2004-04,30.27,37.43,1440,660,False,False,54.42,67.3
NSW1,2004-05,32.12,37.85,1488,630,False,False,57.66,67.95
NSW1,2004-06,31.18,33.72,1440,660,False,False,55.89,60.44
NSW1,2004-07,35.63,43.57,1488,660,False,False,63.78,77.99
NSW1,2004-08,23.61,26.2,1488,660,False,False,42.2,46.83
NSW1,2004-09,28.18,32.32,1440,660,False,False,50.3,57.69
NSW1,2004-10,69.6,125.43,1488,630,False,False,123.92,223.33
NSW1,2004-11,77.7,131.39,1440,660,False,False,137.99,233.35
NSW1,2004-12,64.89,110.88,1488,690,False,False,114.95,196.42
NSW1,2005-01,39.9,65.6,1488,630,False,False,70.53,115.95
NSW1,2005-02,32.86,50.64,1344,600,False,False,57.95,89.31
NSW1,2005-03,18.45,19.92,1488,690,False,False,32.47,35.05
NSW1,2005-04,29.9,36.49,1440,630,False,False,52.51,64.08
NSW1,2005-05,24.4,27.74,1488,660,False,False,42.77,48.62
NSW1,2005-06,26.35,32.42,1440,660,False,False,46.09,56.71
NSW1,2005-07,24.3,27.73,1488,630,False,False,42.37,48.35
NSW1,2005-08,28.47,36.96,1488,690,False,False,49.47,64.23
NSW1,2005-09,28.63,36.19,1440,660,False,False,49.59,62.68
NSW1,2005-10,47.39,86.17,1488,630,False,False,81.94,148.99
NSW1,2005-11,57.49,104.05,1440,660,False,False,99.23,179.6
NSW1,2005-12,71.55,127.53,1488,660,False,False,123.29,219.75
NSW1,2006-01,26.84,33.82,1488,660,False,False,46.12,58.11
NSW1,2006-02,64.45,122.66,1344,600,False,False,110.42,210.15
NSW1,2006-03,22.58,27.46,1488,690,False,False,38.58,46.91
NSW1,2006-04,20.61,23.63,1440,600,False,False,35.03,40.16
NSW1,2006-05,25.45,32.23,1488,690,False,False,43.03,54.49
NSW1,2006-06,31.47,38.39,1440,660,False,False,52.93,64.56
NSW1,2006-07,47.71,73.49,1488,630,False,False,80.0,123.23
NSW1,2006-08,29.79,35.43,1488,690,False,False,49.81,59.24
NSW1,2006-09,28.25,34.69,1440,630,False,False,47.09,57.83
NSW1,2006-10,25.33,30.95,1488,660,False,False,42.24,51.61
NSW1,2006-11,31.47,41.15,1440,660,False,False,52.5,68.65
NSW1,2006-12,21.0,25.26,1488,630,False,False,35.05,42.16
NSW1,2007-01,55.91,89.47,1488,690,False,False,93.28,149.28
NSW1,2007-02,44.76,62.98,1344,600,False,False,74.66,105.05
NSW1,2007-03,51.28,63.16,1488,660,False,False,85.51,105.32
NSW1,2007-04,78.21,102.26,1440,630,False,False,129.89,169.83
NSW1,2007-05,63.28,75.83,1488,690,False,False,104.66,125.42
NSW1,2007-06,230.66,397.05,1440,630,False,False,379.96,654.06
NSW1,2007-07,77.87,105.7,1488,660,False,False,127.98,173.72
NSW1,2007-08,39.94,47.17,1488,690,False,False,65.49,77.35
NSW1,2007-09,47.95,60.36,1440,600,False,False,78.45,98.75
NSW1,2007-10,40.72,55.78,1488,690,False,False,66.41,90.97
NSW1,2007-11,36.01,48.17,1440,660,False,False,58.55,78.32
NSW1,2007-12,40.16,55.55,1488,630,False,False,65.1,90.04
NSW1,2008-01,34.08,43.73,1488,690,False,False,55.0,70.57
NSW1,2008-02,27.19,32.22,1392,630,False,False,43.68,51.76
NSW1,2008-03,34.57,47.31,1488,630,False,False,55.29,75.67
NSW1,2008-04,33.25,40.08,1440,660,False,False,52.93,63.8
NSW1,2008-05,45.2,53.21,1488,660,False,False,71.6,84.29
NSW1,2008-06,41.82,51.05,1440,630,False,False,65.93,80.49
NSW1,2008-07,40.47,55.38,1488,690,False,False,63.56,86.98
NSW1,2008-08,39.92,48.73,1488,630,False,False,62.45,76.24
NSW1,2008-09,35.55,45.62,1440,660,False,False,55.4,71.1
NSW1,2008-10,81.58,143.1,1488,690,False,False,127.28,223.26
NSW1,2008-11,30.85,38.45,1440,600,False,False,48.18,60.05
NSW1,2008-12,23.91,27.84,1488,690,False,False,37.39,43.53
NSW1,2009-01,47.1,72.97,1488,660,False,False,73.62,114.05
NSW1,2009-02,41.43,39.35,1344,600,False,False,64.73,61.48
NSW1,2009-03,24.65,29.61,1488,660,False,False,38.5,46.25
NSW1,2009-04,36.01,47.45,1440,660,False,False,56.15,73.99
NSW1,2009-05,30.28,35.75,1488,630,False,False,47.14,55.65
NSW1,2009-06,34.15,45.82,1440,660,False,False,53.07,71.21
NSW1,2009-07,31.47,40.23,1488,690,False,False,48.76,62.33
NSW1,2009-08,24.3,27.9,1488,630,False,False,37.53,43.09
NSW1,2009-09,25.62,28.56,1440,660,False,False,39.44,43.97
NSW1,2009-10,27.54,32.65,1488,660,False,False,42.32,50.18
NSW1,2009-11,107.76,209.33,1440,630,False,False,165.31,321.13
NSW1,2009-12,97.38,186.31,1488,690,False,False,149.12,285.31
NSW1,2010-01,50.42,78.56,1488,630,False,False,76.97,119.93
NSW1,2010-02,55.74,96.8,1344,600,False,False,84.83,147.32
NSW1,2010-03,25.86,30.88,1488,690,False,False,39.24,46.85
NSW1,2010-04,24.75,28.33,1440,660,False,False,37.48,42.9
NSW1,2010-05,27.77,31.21,1488,630,False,False,41.96,47.16
NSW1,2010-06,33.29,38.94,1440,660,False,False,50.21,58.73
NSW1,2010-07,27.39,29.46,1488,660,False,False,41.21,44.32
NSW1,2010-08,34.96,46.72,1488,660,False,False,52.47,70.12
NSW1,2010-09,24.17,25.76,1440,660,False,False,36.19,38.57
NSW1,2010-10,22.65,24.27,1488,630,False,False,33.87,36.29
NSW1,2010-11,23.08,24.35,1440,660,False,False,34.47,36.37
NSW1,2010-12,22.47,24.87,1488,690,False,False,33.51,37.09
NSW1,2011-01,48.36,78.09,1488,630,False,False,71.76,115.88
NSW1,2011-02,136.77,259.43,1344,600,False,False,201.91,383.0
NSW1,2011-03,26.34,29.29,1488,690,False,False,38.69,43.02
NSW1,2011-04,26.43,27.22,1440,630,False,False,38.7,39.86
NSW1,2011-05,29.11,30.41,1488,660,False,False,42.5,44.39
NSW1,2011-06,27.4,29.83,1440,660,False,False,39.88,43.41
NSW1,2011-07,30.63,35.14,1488,630,False,False,44.49,51.04
NSW1,2011-08,30.15,33.09,1488,690,False,False,43.71,47.97
NSW1,2011-09,28.56,31.1,1440,660,False,False,41.32,44.99
NSW1,2011-10,28.52,30.68,1488,630,False,False,41.26,44.39
NSW1,2011-11,37.12,47.76,1440,660,False,False,53.7,69.1
NSW1,2011-12,25.78,27.5,1488,660,False,False,37.3,39.79
NSW1,2012-01,25.07,28.43,1488,660,False,False,36.26,41.12
NSW1,2012-02,26.89,29.48,1392,630,False,False,38.89,42.63
NSW1,2012-03,25.46,28.13,1488,660,False,False,36.81,40.67
NSW1,2012-04,33.52,36.78,1440,630,False,False,48.38,53.09
NSW1,2012-05,28.71,30.61,1488,690,False,False,41.37,44.11
NSW1,2012-06,36.01,40.68,1440,630,False,False,51.8,58.52
NSW1,2012-07,66.23,74.02,1488,660,True,False,94.84,106.0
NSW1,2012-08,57.4,59.12,1488,690,True,False,81.83,84.28
NSW1,2012-09,52.75,54.32,1440,600,True,False,74.86,77.09
NSW1,2012-10,57.07,60.96,1488,690,True,False,80.92,86.44
NSW1,2012-11,56.88,62.23,1440,660,True,False,80.58,88.16
NSW1,2012-12,49.81,50.48,1488,630,True,False,70.51,71.46
NSW1,2013-01,50.56,53.13,1488,690,True,False,71.49,75.12
NSW1,2013-02,52.12,54.42,1344,600,True,False,73.61,76.86
NSW1,2013-03,52.51,54.87,1488,630,True,False,74.08,77.41
NSW1,2013-04,54.03,57.39,1440,660,True,False,76.13,80.86
NSW1,2013-05,55.07,59.18,1488,690,True,False,77.5,83.28
NSW1,2013-06,56.5,59.67,1440,600,True,False,79.41,83.86
NSW1,2013-07,57.81,60.88,1488,690,True,False,80.92,85.22
NSW1,2013-08,54.27,56.37,1488,660,True,False,75.66,78.59
NSW1,2013-09,52.71,54.35,1440,630,True,False,73.19,75.47
NSW1,2013-10,51.5,52.4,1488,690,True,False,71.34,72.58
NSW1,2013-11,50.49,51.68,1440,630,True,False,69.77,71.42
NSW1,2013-12,59.03,70.8,1488,660,True,False,81.38,97.6
NSW1,2014-01,52.11,56.72,1488,690,True,False,71.7,78.04
NSW1,2014-02,50.32,52.88,1344,600,True,False,69.1,72.61
NSW1,2014-03,48.68,51.65,1488,630,True,False,66.72,70.79
NSW1,2014-04,48.62,50.39,1440,660,True,False,66.52,68.94
NSW1,2014-05,51.36,56.06,1488,660,True,False,70.15,76.57
NSW1,2014-06,49.74,51.67,1440,630,True,False,67.83,70.46
NSW1,2014-07,41.22,44.55,1488,690,False,False,56.13,60.66
